Scenario,Seed,HCL_NRE,pTRPCA_NRE,DeltaNRE,HCL_Win,Tie
EBS,20270018,0.0086994394764148,0.0168207203977745,-0.0081212809213597,1,0
EBS,20270019,0.00867274803458426,0.0169222158423962,-0.00824946780781194,1,0
EBS,20270020,0.00882114775882786,0.016820551639432,-0.00799940388060414,1,0
EBS,20270021,0.00875973609898446,0.0168196304694318,-0.00805989437044734,1,0
EBS,20270022,0.00866354588989867,0.0167774250832914,-0.00811387919339273,1,0
EBS,20270023,0.00870660297389682,0.0168461406346559,-0.00813953766075908,1,0
EBS,20270024,0.00882016493438688,0.0169345699808009,-0.00811440504641402,1,0
EBS,20270025,0.00889455302279332,0.0169024764843575,-0.00800792346156418,1,0
EBS,20270026,0.00873548483378742,0.0168802190133007,-0.00814473417951328,1,0
EBS,20270027,0.00878491752414684,0.0169272839184459,-0.00814236639429906,1,0
EBS,20270028,0.00873302156654496,0.0168302337170656,-0.00809721215052064,1,0
EBS,20270029,0.00887867455591612,0.01681922358072,-0.00794054902480388,1,0
EBS,20270030,0.00865312110371515,0.0167656866649149,-0.00811256556119975,1,0
