Rank,TotalUpdate,N,ObjectiveNormMean,ObjectiveNormSD,NREMean,NRESD,RelativeUpdateMean,RelativeUpdateSD,RankBoundMean,RankBoundSD
30,54,10,0.42897847508166,0.014600351637451,0.305123808539357,0.00239743864832356,0.00385393531876252,0.000165340528852018,0.00067975699695607,2.91489062448567e-05
30,55,10,0.427978255845173,0.0145870878342871,0.306835405293652,0.0024367251328582,0.00378058552315217,0.00016028840276441,0.00066682339512579,2.82583402244288e-05
30,56,10,0.427012613557823,0.0145748986245316,0.308520925373083,0.00247543164647947,0.00371038335239305,0.0001554156335053,0.000654444754030165,2.73993975346793e-05
30,57,10,0.42607957834248,0.0145637005397681,0.310181084405968,0.00251350395607074,0.00364312351981129,0.000150726698203017,0.000642584878326548,2.65728666028762e-05
30,58,10,0.425177333591618,0.0145534156622323,0.311816577607982,0.00255089419853117,0.00357861795778749,0.000146224800765152,0.000631210609039592,2.57793116198787e-05
30,59,10,0.424304201166188,0.0145439710759573,0.313428079330679,0.00258756085715972,0.00351669401832413,0.000141911721476417,0.000620291506175673,2.50190459190887e-05
30,60,10,0.423458628306826,0.0145352984204099,0.315016242877618,0.00262346861948995,0.00345719287782359,0.000137787718735129,0.00060979956737114,2.42921145759483e-05
30,61,10,0.422639176040949,0.0145273335371239,0.316581700526772,0.00265858813993253,0.00339996814893535,0.000133851533450843,0.000599708983074166,2.3598295135406e-05
30,62,10,0.421844508886914,0.0145200161968289,0.31812506371149,0.00269289572994992,0.00334488468063983,0.000130100497947159,0.000589995924934914,2.29371167885535e-05
30,63,10,0.421073385678964,0.0145132898921559,0.319646923323213,0.00272637299734025,0.00329181752028342,0.000126530726366678,0.000580638362764844,2.23078939372291e-05
30,64,10,0.420324651360272,0.014507101679668,0.321147850107611,0.00275900645443713,0.0032406510119779,0.000123137354572615,0.0005716159055499,2.17097684979087e-05
30,65,10,0.419597229614032,0.0145014020549658,0.322628395132202,0.00279078711265979,0.0031912780092604,0.000119914797392107,0.000562909662617258,2.11417552703682e-05
30,66,10,0.418890116222936,0.0144961448459472,0.324089090308198,0.00282171007801796,0.0031435991832672,0.000116856995605141,0.000554502121647935,2.06027855012623e-05
30,67,10,0.418202373065421,0.0144912871117268,0.325530448952921,0.00285177415908398,0.00309752241006177,0.000113957632096053,0.000546377040649056,2.009174501028e-05
30,68,10,0.417533122672509,0.0144867890378774,0.326952966381783,0.00288098149582142,0.00305296222242979,0.00011121030456244,0.000538519351294824,1.9607504654199e-05
30,69,10,0.416881543282236,0.0144826138220856,0.328357120520798,0.00290933721471098,0.00300983931296742,0.000108608649912844,0.000530915071312462,1.91489422691845e-05
30,70,10,0.416246864339483,0.0144787275475867,0.329743372532156,0.0029368491130151,0.00296808007706474,0.000106146422033942,0.000523551223902698,1.87149563872482e-05
30,71,10,0.415628362397782,0.0144750990445163,0.331112167446442,0.00296352737287693,0.00292761618655842,0.000103817529387907,0.000516415762567562,1.83044728661579e-05
30,72,10,0.415025357386457,0.0144716997413496,0.332463934795942,0.00298938430431672,0.0028883841872817,0.000101616041722756,0.000509497500151205,1.79164460700973e-05
30,73,10,0.41443720921164,0.014468503509833,0.333799089244123,0.00301443411505494,0.00285032511621775,9.95361761760738e-05,0.000502786041336469,1.75498564144466e-05
30,74,10,0.413863314663365,0.0144654865072885,0.335118031206861,0.00303869270441471,0.00281338413618176,9.75722725732772e-05,0.000496271718231432,1.7203706003644e-05
